operator,stage,classification,knowledge_evidence_tier,artifact_validation,first_speedup,ours_speedup,delta,first_passed,first_total,first_submission_id,first_job_id,ours_job_id
Exp,standard,strict_reference,supported_hypothesis,public_full_hidden_unknown,2.1134505196845295,1.871,0.24245051968452946,20,20,sub_6e1a06991e18,job_85c8a6679475,job_de758a79a4aa
ForeachAddcdivScalar,standard,not_selected,not_selected,hidden_full,1.4041279056623914,1.425,-0.020872094337608615,20,20,sub_65550730d7d2,job_36989442075f,job_3dd96e54dfb7
ForeachNorm,standard,strict_reference,supported_hypothesis,public_full_hidden_unknown,1.5687860124858797,0.909,0.6597860124858796,20,20,sub_7e6f4b1b47d0,job_2fb1f786beb7,job_dc772ea3fa70
Gelu,standard,not_selected,not_selected,public_full_hidden_unknown,0.6328584067750799,0.46,0.17285840677507985,20,20,sub_0453968a3d21,job_5310ae9e4031,job_ac3a7f0e27e4
MaskedScale,standard,strict_reference,supported_hypothesis,public_full_hidden_unknown,2.4560852451832598,2.236,0.22008524518325956,20,20,sub_0a22de38ab21,job_88696c5a7f69,job_05daab251897
Mish,standard,strict_reference,promotion_candidate,hidden_full,1.8846159384134595,0.939,0.9456159384134596,20,20,sub_1219704de8b1,job_2ed9060b52ff,job_2dacdf97343f
Sigmoid,standard,not_selected,not_selected,public_full_hidden_unknown,0.8251150053372067,0.674,0.15111500533720668,20,20,sub_dd011b7a9643,job_67adea7240b0,job_2653ddc2716a
SwiGlu,standard,strict_reference,supported_hypothesis,public_full_hidden_unknown,1.5468596726795005,1.41,0.1368596726795006,20,20,sub_5c9c01772daf,job_b3ecbade2133,job_7c4a0829a1fb
ApplyAdamW,standard,strict_reference,supported_hypothesis,public_full_hidden_unknown,1.859697403812128,1.358,0.5016974038121278,20,20,sub_fdddd1ba9ea0,job_7f704da88c9d,job_699cea5ef6a1
ApplyRotaryPosEmb,standard,strict_reference,supported_hypothesis,public_full_hidden_unknown,1.0858915293961027,0.127,0.9588915293961027,20,20,sub_23161c916842,job_ca884d0963f0,job_270ac75477bd
ArgMax,standard,strict_reference,supported_hypothesis,public_full_hidden_unknown,1.342473027171809,0.295,1.0474730271718091,20,20,sub_e5f49b2634ca,job_20ce0a24de6b,job_2a7a276e5ab6
CrossEntropyLoss,standard,not_selected,not_selected,public_full_hidden_unknown,0.7586480567453642,0.42,0.3386480567453642,20,20,sub_bd169df17350,job_7adc80951170,job_a60807eaea12
Cummin,standard,not_selected,not_selected,public_full_hidden_unknown,0.441225137728048,0.117,0.324225137728048,20,20,sub_d98c20d3f6a4,job_8ef7c1a80df1,job_0100ee7a6a0d
DynamicQuant,standard,strict_reference,promotion_candidate,hidden_full,1.367803406585835,0.558,0.809803406585835,20,20,sub_bb4b6ab09cd2,job_96326c58b860,job_3f92e8ee40ee
Gather,standard,strict_reference,supported_hypothesis,public_full_hidden_unknown,1.0744691674813613,0.031,1.0434691674813614,20,20,sub_a0bde9d9ff4f,job_f1d249d848db,job_69348266b737
Gcd,standard,strict_reference,counterexample_or_rejected,hidden_incomplete,1.0008569595998558,0.102,0.8988569595998558,20,20,sub_e215abc0ade5,job_8a6624991d95,job_78b950d2ee3b
GridSampler3D,standard,not_selected,not_selected,hidden_full,0.1916799962759082,0.009,0.1826799962759082,20,20,sub_8fc95d84d596,job_1a9595650606,job_e3cc845d3e48
GroupNorm,standard,strict_reference,promotion_candidate,hidden_full,1.0218027148422504,0.402,0.6198027148422504,20,20,sub_028d337b1730,job_4a7211bc8cbf,job_a37be2790da7
Maximum,standard,not_selected,not_selected,hidden_incomplete,0.823157727900427,0.674,0.14915772790042692,20,20,sub_ce04b677f244,job_3bf78f5af1f3,job_368c984ed127
ResizeBilinear,standard,strict_reference,supported_hypothesis,public_full_hidden_unknown,2.0229855307091316,0.06,1.9629855307091315,20,20,sub_81d0392760d2,job_345c45c18b44,job_a23d44fa41e7
RmsNorm,standard,strict_reference,promotion_candidate,hidden_full,1.0542282063530384,0.503,0.5512282063530384,20,20,sub_16b3c07a9a7a,job_7e8857a52b36,job_16e9e2246c18
Scatter,standard,not_selected,not_selected,public_full_hidden_unknown,0.44245000682235275,0.024,0.4184500068223527,20,20,sub_f1235da10163,job_760e6eab5529,job_bf98604b20e5
Softmax,standard,strict_reference,supported_hypothesis,public_full_hidden_unknown,1.0031768287235443,0.424,0.5791768287235444,20,20,sub_cb3b5ee15e4d,job_21d42a7c1152,job_643b6fe67592
UnsortedSegmentSum,standard,strict_reference,promotion_candidate,hidden_full,1.2147997936332477,0.141,1.0737997936332477,20,20,sub_09bf90d4b2ac,job_824a2208ba89,job_c72c04f4a4f6
AdaptiveAvgPool3D,standard,not_comparable_missing_ours_speedup,not_selected,public_full_hidden_unknown,0.8436370864760022,,,20,20,sub_f0632297961a,job_ed4c6e97bf0e,job_de63c9b508d6
AddRmsNormDynamicQuant,standard,strict_reference,supported_hypothesis,public_full_hidden_unknown,1.1533379326767839,0.352,0.8013379326767839,20,20,sub_63b4557dc0bc,job_ce750269e5e9,job_28e49e3f765d
Conv2D,standard,not_selected,not_selected,public_full_hidden_unknown,0.3470021067919903,0.007,0.3400021067919903,20,20,sub_d748e2c3b753,job_1ecda0649909,job_0ceb141063b9
Conv3DBackpropFilter,standard,strict_reference,counterexample_or_rejected,hidden_incomplete,1.0699351014272889,0.001,1.068935101427289,20,20,sub_989a190646a4,job_a72d0328c56c,job_4e238c310fb5
DepthwiseConv2D,standard,not_selected,not_selected,public_full_hidden_unknown,0.45328429511001656,0.117,0.33628429511001656,20,20,sub_7ebe34cd098f,job_df24e8feef94,job_c22fc14ade9d
DequantSwigluQuant,standard,strict_reference,supported_hypothesis,public_full_hidden_unknown,1.2479144031014533,0.491,0.7569144031014533,20,20,sub_95523c3ce2fd,job_a9621e51580e,job_8d7560c3b6ce
Dilation2D,standard,not_selected,not_selected,hidden_full,0.556103170134478,0.218,0.338103170134478,20,20,sub_4dce93cd01b1,job_e21d6d581fed,job_1fd0c7b1741b
EngramGateFusion,standard,not_selected,not_selected,public_full_hidden_unknown,0.28540069824897274,0.09,0.19540069824897274,20,20,sub_adbb2d0597eb,job_238b7c2dc382,job_fc85ae1e80d3
GroupedMatmul,standard,hypothesis_only_incomplete_correctness,rejected_incomplete_correctness,public_full_hidden_unknown,1.0368055426353355,0.014,1.0228055426353355,14,20,sub_a5dbf61bcc3e,job_84795642d15d,job_f42be2b85af0
